Time period;Y
Q1-1980;290 806,0 
Q2-1980;289 250,0 
Q3-1980;289 187,0 
Q4-1980;288 834,0 
Q1-1981;290 041,0 
Q2-1981;291 633,0 
Q3-1981;293 790,0 
Q4-1981;295 261,0 
Q1-1982;297 721,0 
Q2-1982;299 600,0 
Q3-1982;299 867,0 
Q4-1982;301 605,0 
Q1-1983;302 937,0 
Q2-1983;303 007,0 
Q3-1983;303 527,0 
Q4-1983;304 793,0 
Q1-1984;306 992,0 
Q2-1984;307 914,0 
Q3-1984;309 481,0 
Q4-1984;310 260,0 
Q1-1985;310 847,0 
Q2-1985;312 955,0 
Q3-1985;315 062,0 
Q4-1985;315 954,0 
Q1-1986;317 365,0 
Q2-1986;320 817,0 
Q3-1986;322 103,0 
Q4-1986;322 868,0 
Q1-1987;323 701,0 
Q2-1987;327 315,0 
Q3-1987;329 963,0 
Q4-1987;335 253,0 
Q1-1988;339 487,0 
Q2-1988;341 755,0 
Q3-1988;346 267,0 
Q4-1988;349 559,0 
Q1-1989;354 389,0 
Q2-1989;357 040,0 
Q3-1989;361 228,0 
Q4-1989;365 909,0 
Q1-1990;368 385,0 
Q2-1990;369 680,0 
Q3-1990;371 314,0 
Q4-1990;372 253,0 
Q1-1991;372 104,0 
Q2-1991;373 362,0 
Q3-1991;374 568,0 
Q4-1991;376 160,0 
Q1-1992;380 013,0 
Q2-1992;379 699,0 
Q3-1992;379 844,0 
Q4-1992;379 041,0 
Q1-1993;376 671,0 
Q2-1993;376 930,0 
Q3-1993;377 513,0 
Q4-1993;378 317,0 
Q1-1994;381 152,0 
Q2-1994;385 213,0 
Q3-1994;387 462,0 
Q4-1994;390 870,0 
Q1-1995;393 028,0 
Q2-1995;394 684,0 
Q3-1995;395 311,0 
Q4-1995;396 021,0 
Q1-1996;398 251,0 
Q2-1996;399 236,0 
Q3-1996;401 495,0 
Q4-1996;402 063,0 
Q1-1997;403 435,0 
Q2-1997;408 011,0 
Q3-1997;410 945,0 
Q4-1997;415 643,0 
Q1-1998;419 170,0 
Q2-1998;423 004,0 
Q3-1998;425 982,0 
Q4-1998;429 103,0 
Q1-1999;431 499,0 
Q2-1999;435 167,0 
Q3-1999;440 261,0 
Q4-1999;446 298,0 
Q1-2000;450 657,0 
Q2-2000;454 963,0 
Q3-2000;457 795,0 
Q4-2000;461 474,0 
Q1-2001;464 190,0 
Q2-2001;464 751,0 
Q3-2001;466 275,0 
Q4-2001;466 168,0 
Q1-2002;467 861,0 
Q2-2002;470 133,0 
Q3-2002;471 870,0 
Q4-2002;471 935,0 
Q1-2003;472 713,0 
Q2-2003;471 653,0 
Q3-2003;474 890,0 
Q4-2003;478 450,0 
Q1-2004;482 883,0 
Q2-2004;486 036,0 
Q3-2004;487 464,0 
Q4-2004;491 013,0 
Q1-2005;492 309,0 
Q2-2005;493 200,0 
Q3-2005;495 710,0 
Q4-2005;499 422,0 
Q1-2006;503 294,0 
Q2-2006;508 405,0 
Q3-2006;508 422,0 
Q4-2006;512 527,0 
Q1-2007;516 248,0 
Q2-2007;520 307,0 
Q3-2007;522 033,0 
Q4-2007;523 204,0 
Q1-2008;525 542,0 
Q2-2008;523 095,0 
Q3-2008;521 452,0 
Q4-2008;514 163,0 
Q1-2009;505 606,0 
Q2-2009;505 100,0 
Q3-2009;505 896,0 
Q4-2009;509 568,0 
Q1-2010;511 492,0 
Q2-2010;514 144,0 
Q3-2010;517 166,0 
Q4-2010;520 764,0 
Q1-2011;526 140,0 
Q2-2011;526 387,0 
Q3-2011;527 913,0 
Q4-2011;529 134,0 
Q1-2012;529 710,0 
Q2-2012;528 731,0 
Q3-2012;529 765,0 
Q4-2012;529 329,0 
Q1-2013;529 168,0 
Q2-2013;532 775,0 
Q3-2013;532 892,0 
Q4-2013;535 549,0 
Q1-2014;535 964,0 
Q2-2014;536 544,0 
Q3-2014;539 107,0 
Q4-2014;539 746,0 
Q1-2015;542 471,0 
Q2-2015;542 230,0 
Q3-2015;544 126,0 
Q4-2015;544 692,0 
Q1-2016;548 509,0 
Q2-2016;547 236,0 
Q3-2016;548 517,0 
Q4-2016;551 626,0 
Q1-2017;556 057,0 
Q2-2017;560 175,0 
Q3-2017;564 121,0 
Q4-2017;568 801,0 
Q1-2018;569 481,0 
Q2-2018;570 755,0 
Q3-2018;572 912,0 
Q4-2018;576 639,0 
Q1-2019;579 566,0 
Q2-2019;581 218,0 
Q3-2019;582 073,0 
Q4-2019;580 985,0 
Q1-2020;546 673,0 
Q2-2020;472 044,0 
Q3-2020;559 418,0 
Q4-2020;551 875,0 
