Time period;ChoLT
1980;2 042
1981;2 341
1982;2 588
1983;2 672
1984;3 183
1985;3 406
1986;3 327
1987;3 410
1988;3 181
1989;2 951
1990;2 835
1991;2 747
1992;3 034
1993;3 375
1994;3 724
1995;3 485
1996;3 639
1997;3 692
1998;3 531
1999;3 567
2000;3 041
2001;2 706
2002;2 804
2003;2 705
2004;2 866
2005;2 905
2006;2 934
2007;2 664
2008;2 495
2009;3 130
2010;3 151
2011;3 083
2012;3 322
2013;3 482
2014;3 471
2015;3 525
2016;3 453
2017;3 203
2018;3 094
2019;2 878
2020;2 894
